name,split,method,W,k,stride_divisor,mask,hashes,rows_per_band,known_pairs,query_loci,recall1,recall10,recall100,recall10_ci_low,recall10_ci_high,decoy_fraction10,preparation_seconds,index_seconds,query_seconds,run_wall_seconds,target_index_bytes,cold_stage_seconds,measured_stage_sum_seconds,python_peak_rss_kib,external_peak_rss_kib,cluster_database_disk_bytes,raw_windows,candidate_loci_mean,candidate_loci_p95,raw_work,work_unit
dev-union-255k9-1024k13,dev,union,,,,False,,,274,266,0.8905109489051095,0.9635036496350365,0.9817518248175182,0.9280457702803274,0.9923968720855155,0.005263157894736842,22.08465313911438,4.752601146697998,15.671281576156616,,568284532,42.508535861968994,42.508535861968994,,,,,168.68421052631578,184.0,53200,list entries
dev-w1024-k13-d1-mask0,dev,exact,1024,13,1,False,,,274,266,0.8576642335766423,0.9233576642335767,0.9744525547445255,0.8785689484126984,0.9624095350736391,0.006766917293233083,9.866292953491211,1.8388218879699707,1.1894192695617676,13.035115957260132,262767840,12.89453411102295,12.89453411102295,810376,,,26768,1257.4135338345864,1502.5,2470075,kmer postings
dev-w1024-k13-d2-linclust,dev,linclust,1024,13,2,False,,,274,266,0.1678832116788321,0.1678832116788321,0.1678832116788321,0.1220318313352625,0.21561338289962825,0.0,11.363125562667847,1.337827444076538,0.07998943328857422,13.138941287994385,,,12.780942440032959,518800,226464,48471765,,0.17293233082706766,1.0,783,cluster window pairs
dev-w1024-k13-d2-mask0-h128-lsh-r1,dev,lsh,1024,13,2,False,128,1,274,266,0.6642335766423357,0.7883211678832117,0.9014598540145985,0.7194213050612142,0.8555133079847909,0.0387218045112782,27.686243057250977,0.2358713150024414,1.5117239952087402,13.31935977935791,72622080,29.433838367462158,29.433838367462158,581620,,,,323.7706766917293,570.25,387044,band entries
dev-w1024-k13-d2-mask0-h128-lsh-r2,dev,lsh,1024,13,2,False,128,2,274,266,0.29927007299270075,0.29927007299270075,0.29927007299270075,0.2237206996033177,0.3800776591416104,0.020618556701030927,28.02724528312683,0.1644139289855957,0.8085992336273193,12.881449460983276,50835456,29.000258445739746,29.000258445739746,558408,,,,0.8759398496240601,2.75,1003,band entries
dev-w1024-k13-d2-mask0-h128-lsh-r4,dev,lsh,1024,13,2,False,128,4,274,266,0.014598540145985401,0.014598540145985401,0.014598540145985401,0.003436426116838488,0.0299625468164794,0.0,27.669886350631714,0.1069784164428711,0.6058518886566162,12.235384941101074,39942144,28.3827166557312,28.3827166557312,549528,,,,0.015037593984962405,0.0,5,band entries
dev-w1024-k13-d2-mask0-h128-scan-r2,dev,scan,1024,13,2,False,128,2,274,266,0.6642335766423357,0.7883211678832117,0.9014598540145985,0.7194213050612142,0.8555133079847909,0.0387218045112782,27.64869475364685,3.814697265625e-06,0.42316317558288574,28.493925094604492,29048832,28.071861743927002,28.071861743927002,560812,,,,323.7706766917293,570.25,4504804864,signature entries compared
dev-w1024-k13-d2-mask0-h32-lsh-r1,dev,lsh,1024,13,2,False,32,1,274,266,0.45255474452554745,0.5693430656934306,0.791970802919708,0.4838630093378608,0.6528415507505853,0.05413533834586466,19.747146368026733,0.058080196380615234,0.472797155380249,12.189316034317017,18155520,20.278023719787598,20.278023719787598,520920,,,,78.08646616541354,146.75,72465,band entries
dev-w1024-k13-d2-mask0-h32-lsh-r2,dev,lsh,1024,13,2,False,32,2,274,266,0.15328467153284672,0.15328467153284672,0.15328467153284672,0.09824561403508772,0.21562077559986478,0.0,19.707547903060913,0.03758716583251953,0.26194095611572266,11.901797771453857,12708864,20.007076025009155,20.007076025009155,513060,,,,0.18421052631578946,1.0,221,band entries
dev-w1024-k13-d2-mask0-h32-lsh-r4,dev,lsh,1024,13,2,False,32,4,274,266,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.0,0.025002240143369166,0.0,19.86424422264099,0.02515721321105957,0.2130448818206787,11.99679160118103,9985536,20.10244631767273,20.10244631767273,510768,,,,0.011278195488721804,0.0,3,band entries
